# CFB Rankings Export
# Generated: 2025-06-05T06:11:43.114376
# Season: 2024
# Week: 15
# Neutrality Metric: 0.0005
#
rank_live,team,conference,rating_live,delta_rank,conf_weight,quality_wins
48,Minnesota State Mankato,Independent,0.0017672125241419707,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
49,Morehead State,Independent,0.001756294293601948,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
50,Fort Lewis,Independent,0.001748415445727993,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
51,UT Martin,Independent,0.001737986447856871,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
52,University of Mount Union,Independent,0.0017371783242404572,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
53,South Dakota State,Independent,0.0017356577839250998,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
54,Kings College (PA),Independent,0.0017336314441066141,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
55,Notre Dame,Independent,0.0017324708422262992,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
56,Lewis & Clark College,Independent,0.0017323959617676886,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
57,Lehigh,Independent,0.0017309099709912558,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
58,Carson-Newman College,Independent,0.0017298205646196039,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
59,Marshall,Independent,0.0017279532891205558,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
60,Wisconsin-Platteville,Independent,0.0017232387044470575,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
61,Slippery Rock,Independent,0.001721753907545132,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
62,Carnegie Mellon,Independent,0.001720715840814514,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
63,Randolph-Macon,Independent,0.0017179946023624497,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
64,Johns Hopkins University,Independent,0.0017150976408610566,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
65,Butler,Independent,0.0017126901922935587,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
66,Northwestern (MN),Independent,0.0017115908893220945,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
67,Jacksonville State,Independent,0.0017102474407272644,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
68,Maryville College (TN),Independent,0.0017086269561147529,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
69,Indianapolis,Independent,0.0017067506699720903,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
70,Tulane,Independent,0.001704053821251678,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
71,Texas Lutheran,Independent,0.0017005410521571617,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
72,Abilene Christian,Independent,0.0016927588198026185,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
73,Akron,Independent,0.0016913868228639242,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
74,Cortland,Independent,0.0016907405816007125,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
75,St. Thomas (MN),Independent,0.0016889711331160597,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
76,Missouri S&T,Independent,0.0016887702782086395,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
77,Western Kentucky,Independent,0.0016875207721167023,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
78,Houston,Independent,0.0016861055595334964,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
79,UConn,Independent,0.0016854550204215269,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
80,Sul Ross State,Independent,0.0016842814377273465,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
81,Southeast Missouri State,Independent,0.0016817041657378902,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
82,Westminster College (MO),Independent,0.0016813929850407934,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
83,Oklahoma,Big 12,0.0016810972045179682,0,0.032230482993846496,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
84,Rose-Hulman,Independent,0.0016800777918408154,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
85,Idaho,Independent,0.001676807139367863,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
86,Susquehanna,Independent,0.0016738794090221847,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
87,Colorado State,Independent,0.00167243233219313,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
88,UNLV,Independent,0.0016719273821707624,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
89,PennWest California,Independent,0.001667462715823327,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
90,Wisconsin-Lacrosse,Independent,0.001664552154742601,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
91,Houston Christian,Independent,0.0016639283382451557,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
92,Wingate,Independent,0.0016623406949182458,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
93,Pomona Pitzer,Independent,0.0016585323317021994,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
94,Newberry,Independent,0.0016581329527382508,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
95,Army,Independent,0.0016573418160333025,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
96,Louisiana Tech,Independent,0.0016553854260729732,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
97,Centre College Kentucky,Independent,0.0016550129560974455,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
98,Emory & Henry College,Independent,0.0016534300739713423,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
99,Dayton,Independent,0.0016524642950649455,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
100,UL Monroe,Independent,0.0016515677797200859,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
101,Cincinnati,Independent,0.0016515079233098678,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
102,Willamette,Independent,0.0016513325645111528,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
103,Western Michigan,Independent,0.0016502234866482487,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
104,Tennessee State,Independent,0.0016501343902242584,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
105,Louisiana,Independent,0.0016482125797952047,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
106,Hanover College,Independent,0.0016473943446861854,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
107,Western Illinois,Independent,0.0016458203009198878,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
108,Northeastern State,Independent,0.0016451983949866149,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
109,Roosevelt,Independent,0.001644519221134854,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
110,Lincoln (MO),Independent,0.0016437904297604711,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
111,Arizona State,Pac-12,0.0016436745679579247,0,0.01855434242916092,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
112,Georgia State,Independent,0.0016418547351387987,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
113,Memphis,Independent,0.0016364218307072815,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
114,UMass Dartmouth,Independent,0.0016349901373663106,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
115,Kent State,Independent,0.0016340014480748263,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
116,Simpson College (IA),Independent,0.0016339371882674609,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
117,Montana State,Independent,0.0016319899559654085,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
118,North Greenville,Independent,0.0016276513451485722,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
119,UCF,Independent,0.0016261764598340812,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
120,Mount St. Joseph,Independent,0.0016256829860327078,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
121,South Florida,Independent,0.0016256432237781848,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
122,Stephen F. Austin,Independent,0.0016255211504103847,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
123,UTEP,Independent,0.0016243036965589027,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
124,Valparaiso,Independent,0.0016236648046753558,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
125,Pacific Lutheran,Independent,0.001623378896750167,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
126,Utah State,Independent,0.0016225865297107194,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
127,Central Connecticut,Independent,0.0016218600493811367,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
128,Florida A&M,Independent,0.0016209800262499657,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
129,Southern Miss,Independent,0.0016177767906135159,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
130,Aurora,Independent,0.0016169118613536093,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
131,Indiana State,Independent,0.001616738165625492,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
132,UAB,Independent,0.0016154142666753816,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
133,Angelo State,Independent,0.0016152002614906627,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
134,Wilson,Independent,0.0016130490861873748,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
135,Manchester,Independent,0.0016108279766481465,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
136,North Dakota State,Independent,0.00161068672423461,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
137,Coastal Carolina,Independent,0.0016098121047794854,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
138,Anderson (Sc),Independent,0.0016094144268162312,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
139,Stanford,Pac-12,0.0016085540482977821,0,0.01855434242916092,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
140,South Dakota,Independent,0.0016084594726975753,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
141,Ashland,Independent,0.0016074337970076109,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
142,Albion,Independent,0.0016046411846430964,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
143,Bluffton,Independent,0.0016043746568725405,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
144,Air Force,Independent,0.0016038325092065972,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
145,Trinity University TX,Independent,0.0016037899427749677,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
146,Howard Payne,Independent,0.0016028541374589831,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
147,Temple,Independent,0.001602835953613333,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
148,Buffalo,Independent,0.0016023684539896385,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
149,Lake Forest College,Independent,0.001600658995108793,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
150,Nicholls,Independent,0.001600365311236016,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
151,West Alabama,Independent,0.0016000163124577655,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
152,Middle Tennessee,Independent,0.0015991981747023223,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
153,University Of Charleston (WV),Independent,0.001598903415904454,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
154,San Diego,Independent,0.0015967982351273887,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
155,Richmond,Independent,0.0015945445645382833,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
156,William & Mary,Independent,0.0015942922375408231,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
157,Bowling Green,Independent,0.0015935236404497294,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
158,Truman State,Independent,0.001592690681929986,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
159,Nevada,Independent,0.0015912792668075107,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
160,Alcorn State,Independent,0.0015910299559783294,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
161,Presbyterian,Independent,0.001590186215024217,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
162,Puget Sound,Independent,0.0015892639172817987,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
163,New Haven,Independent,0.0015889661692467325,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
164,Northwestern State,Independent,0.0015874065400427692,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
165,VMI,Independent,0.0015873862706712071,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
166,Central Washington,Independent,0.0015871259043353434,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
167,Tuskegee,Independent,0.0015861077772668841,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
168,UTSA,Independent,0.0015833759139620158,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
169,Southwest Baptist,Independent,0.0015832432633191237,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
170,Alabama State,Independent,0.0015809902605035105,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
171,Hobart College,Independent,0.0015804704219316683,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
172,Robert Morris,Independent,0.0015803467521888787,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
173,Augustana University (SD),Independent,0.0015801934541474067,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
174,Wayne State (MI),Independent,0.0015789260372510027,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
175,North Carolina A&T,Independent,0.0015789144564130008,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
176,Olivet College,Independent,0.0015786966740459502,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
177,Western Carolina,Independent,0.0015785735496302337,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
178,New Mexico State,Independent,0.001577923927063761,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
179,CSU Pueblo,Independent,0.0015771086984570234,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
180,Troy,Independent,0.0015768209649960623,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
181,Florida Atlantic,Independent,0.0015767208772706606,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
182,Midwestern State,Independent,0.0015766815415398326,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
183,Oregon,Pac-12,0.001575566436912486,0,0.01855434242916092,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
184,Pacific (OR),Independent,0.0015750293582205113,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
185,Murray State,Independent,0.0015731415950570055,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
186,Chadron St,Independent,0.0015729302703677561,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
187,Fresno State,Independent,0.0015724660587557264,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
188,Eastern Illinois,Independent,0.001571888649319633,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
189,Northern Illinois,Independent,0.0015711568156377706,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
190,Alfred State,Independent,0.0015706288491884712,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
191,Black Hills State,Independent,0.001569612725511542,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
192,Wagner,Independent,0.001569501200495706,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
193,Arkansas State,Independent,0.0015693733839392287,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
194,Maine,Independent,0.0015685479893195657,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
195,Rice,Independent,0.0015672514822410992,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
196,Grove City College,Independent,0.001564067108846585,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
197,Kutztown University,Independent,0.001563946175507888,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
198,Massachusetts,Independent,0.0015631486299817379,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
199,Nichols College,Independent,0.0015609948888556974,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
200,New Hampshire,Independent,0.0015606870788714572,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
201,North Texas,Independent,0.0015605372718188026,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
202,Adams State,Independent,0.0015604526322504577,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
203,Martin Luther,Independent,0.001559840017604954,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
204,Minot State,Independent,0.0015597254108261458,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
205,NEWBERG,Independent,0.0015578753059401114,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
206,Chattanooga,Independent,0.0015572242709665889,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
207,Toledo,Independent,0.0015560692440268926,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
208,Wisconsin-River Falls,Independent,0.0015548659770576758,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
209,Berry College,Independent,0.001554635564595775,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
210,Luther,Independent,0.0015545451555045086,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
211,Worcester Polytechnic Institute,Independent,0.001554531309386103,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
212,BYU,Independent,0.001553839569798018,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
213,Davidson,Independent,0.001553054510968923,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
214,Missouri Southern State,Independent,0.001552706566544167,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
215,UAlbany,Independent,0.0015522712098524683,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
216,Coe College,Independent,0.0015520690005649056,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
217,East Carolina,Independent,0.0015518749591872194,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
218,New Mexico Highlands,Independent,0.0015517810607870214,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
219,Lindenwood,Independent,0.0015507838035043267,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
220,Missouri State,Independent,0.0015507002169778872,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
221,UNC Pembroke,Independent,0.0015486351920810022,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
222,Tiffin,Independent,0.0015472820366872178,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
223,Northern Iowa,Independent,0.001546546489824734,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
224,San José State,Independent,0.001545863908354291,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
225,Southern Illinois,Independent,0.0015454691756461515,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
226,Limestone,Independent,0.0015446859660730701,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
227,James Madison,Independent,0.001544350272223393,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
228,Howard,Independent,0.0015401012633954084,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
229,Colgate,Independent,0.0015388373268372033,0,0.5,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
230,California,Pac-12,0.00153778736949638,0,0.01855434242916092,"['Defiance College', 'Lincoln (CA)', 'Virginia Union']"
